# Region type : patch inlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	sum(phi)
        3.935	-7.570156e-04
         3.94	-7.570156e-04
        3.945	-7.570156e-04
         3.95	-7.570156e-04
        3.955	-7.570156e-04
         3.96	-7.570156e-04
        3.965	-7.570156e-04
         3.97	-7.570156e-04
        3.975	-7.570156e-04
         3.98	-7.570156e-04
        3.985	-7.570156e-04
         3.99	-7.570156e-04
        3.995	-7.570156e-04
            4	-7.570156e-04
        4.005	-7.570156e-04
         4.01	-7.570156e-04
        4.015	-7.570156e-04
         4.02	-7.570156e-04
        4.025	-7.570156e-04
         4.03	-7.570156e-04
        4.035	-7.570156e-04
         4.04	-7.570156e-04
        4.045	-7.570156e-04
         4.05	-7.570156e-04
        4.055	-7.570156e-04
         4.06	-7.570156e-04
        4.065	-7.570156e-04
         4.07	-7.570156e-04
        4.075	-7.570156e-04
         4.08	-7.570156e-04
        4.085	-7.570156e-04
         4.09	-7.570156e-04
        4.095	-7.570156e-04
          4.1	-7.570156e-04
        4.105	-7.570156e-04
         4.11	-7.570156e-04
        4.115	-7.570156e-04
         4.12	-7.570156e-04
        4.125	-7.570156e-04
         4.13	-7.570156e-04
        4.135	-7.570156e-04
         4.14	-7.570156e-04
        4.145	-7.570156e-04
         4.15	-7.570156e-04
        4.155	-7.570156e-04
         4.16	-7.570156e-04
        4.165	-7.570156e-04
         4.17	-7.570156e-04
        4.175	-7.570156e-04
         4.18	-7.570156e-04
        4.185	-7.570156e-04
         4.19	-7.570156e-04
        4.195	-7.570156e-04
          4.2	-7.570156e-04
        4.205	-7.570156e-04
         4.21	-7.570156e-04
        4.215	-7.570156e-04
         4.22	-7.570156e-04
        4.225	-7.570156e-04
         4.23	-7.570156e-04
        4.235	-7.570156e-04
         4.24	-7.570156e-04
        4.245	-7.570156e-04
         4.25	-7.570156e-04
        4.255	-7.570156e-04
         4.26	-7.570156e-04
        4.265	-7.570156e-04
         4.27	-7.570156e-04
        4.275	-7.570156e-04
         4.28	-7.570156e-04
        4.285	-7.570156e-04
         4.29	-7.570156e-04
        4.295	-7.570156e-04
          4.3	-7.570156e-04
        4.305	-7.570156e-04
         4.31	-7.570156e-04
        4.315	-7.570156e-04
         4.32	-7.570156e-04
        4.325	-7.570156e-04
         4.33	-7.570156e-04
        4.335	-7.570156e-04
         4.34	-7.570156e-04
        4.345	-7.570156e-04
         4.35	-7.570156e-04
        4.355	-7.570156e-04
         4.36	-7.570156e-04
        4.365	-7.570156e-04
         4.37	-7.570156e-04
        4.375	-7.570156e-04
         4.38	-7.570156e-04
        4.385	-7.570156e-04
         4.39	-7.570156e-04
        4.395	-7.570156e-04
          4.4	-7.570156e-04
        4.405	-7.570156e-04
         4.41	-7.570156e-04
        4.415	-7.570156e-04
         4.42	-7.570156e-04
        4.425	-7.570156e-04
         4.43	-7.570156e-04
        4.435	-7.570156e-04
         4.44	-7.570156e-04
        4.445	-7.570156e-04
         4.45	-7.570156e-04
        4.455	-7.570156e-04
         4.46	-7.570156e-04
        4.465	-7.570156e-04
         4.47	-7.570156e-04
        4.475	-7.570156e-04
         4.48	-7.570156e-04
        4.485	-7.570156e-04
         4.49	-7.570156e-04
        4.495	-7.570156e-04
          4.5	-7.570156e-04
        4.505	-7.570156e-04
         4.51	-7.570156e-04
        4.515	-7.570156e-04
         4.52	-7.570156e-04
        4.525	-7.570156e-04
         4.53	-7.570156e-04
        4.535	-7.570156e-04
         4.54	-7.570156e-04
        4.545	-7.570156e-04
         4.55	-7.570156e-04
        4.555	-7.570156e-04
         4.56	-7.570156e-04
        4.565	-7.570156e-04
         4.57	-7.570156e-04
        4.575	-7.570156e-04
         4.58	-7.570156e-04
        4.585	-7.570156e-04
         4.59	-7.570156e-04
        4.595	-7.570156e-04
          4.6	-7.570156e-04
        4.605	-7.570156e-04
         4.61	-7.570156e-04
        4.615	-7.570156e-04
         4.62	-7.570156e-04
